Idade,Saiu_da_empresa,Viagens,Departamento,Distancia_de_casa,Educacao,Area_de_formacao,ID_funcionario,Genero,Nivel_posicao,Cargo,Estado_Civel,Renda_mensal,Num_empresas_trabalhou,Aumento_salarial_ultimo_ano_em_%,Nivel_opcao_acoes,Experiencia_anos,Qtd_treinamento_ultimo_ano,Anos_na_empresa,Anos_da_ultima_promocao,Anos_com_mesmo_Gerente
58,Nao,Nao,Pesquisa e desenvolvimento,2,4,Medica,1044,Masculino,1,Tecnico de Laboratorio,Divorciado,23760,4,12,1,37,3,16,14,14
35,Nao,Raramente,Pesquisa e desenvolvimento,8,1,Formacao Tecnica,1045,Feminino,3,Diretor de Manufatura,Casado,53460,0,14,0,6,3,5,0,3
47,Nao,Raramente,Pesquisa e desenvolvimento,19,5,Medica,1046,Feminino,2,Pesquisador,Divorciado,28270,8,14,1,28,3,22,14,10
40,Nao,Raramente,Pesquisa e desenvolvimento,1,4,Ciencias da Vida,1047,Masculino,2,Gerente,Divorciado,199430,2,13,1,15,3,7,7,7
54,Nao,Raramente,Vendas,27,4,Medica,1048,Masculino,1,Pesquisador,Casado,31310,4,14,0,14,3,7,1,7
31,Nao,Frequente,Vendas,8,4,Outras,1049,Feminino,3,Diretor de Manufatura,Casado,25520,2,18,0,9,2,3,2,2
28,Nao,Raramente,Vendas,1,2,Ciencias da Vida,1050,Masculino,3,Gerente,Casado,44770,1,15,0,3,6,3,1,2
38,Nao,Raramente,Pesquisa e desenvolvimento,19,3,Medica,1051,Feminino,2,Diretor de Manufatura,Casado,64740,2,13,2,20,3,4,0,3
26,Nao,Raramente,Vendas,8,3,Marketing,1052,Feminino,1,Representante de Saude,Solteiro,30330,1,12,0,5,2,5,1,2
58,Nao,Frequente,Pesquisa e desenvolvimento,10,4,Formacao Tecnica,1053,Feminino,1,Representante de Vendas,Casado,29360,2,13,1,23,3,2,2,2
18,Nao,Nao,Pesquisa e desenvolvimento,2,3,Ciencias da Vida,1054,Masculino,3,Representante de Vendas,Solteiro,186060,1,24,2,0,4,0,0,0
31,Sim,Raramente,Pesquisa e desenvolvimento,2,3,Ciencias da Vida,1055,Masculino,3,Tecnico de Laboratorio,Casado,21680,0,14,1,2,2,1,0,0
29,Sim,Raramente,Pesquisa e desenvolvimento,8,2,Medica,1056,Masculino,1,Gerente,Divorciado,28530,4,14,1,4,5,2,2,0
45,Nao,Nao,Vendas,1,4,Formacao Tecnica,1057,Masculino,1,Pesquisador,Casado,170480,4,15,0,10,3,8,5,7
36,Nao,Raramente,Vendas,2,3,Formacao Tecnica,1058,Feminino,5,Tecnico de Laboratorio,Casado,22900,4,11,0,15,5,1,0,0
43,Nao,Frequente,Vendas,8,3,Medica,1059,Masculino,1,Diretor de pesquisa,Casado,36000,1,23,0,7,2,7,7,7
27,Nao,Frequente,Vendas,8,4,Ciencias da Vida,1060,Masculino,5,Pesquisador,Solteiro,21070,0,13,0,6,2,5,0,2
29,Nao,Frequente,Pesquisa e desenvolvimento,6,2,Medica,1061,Masculino,1,Recursos Humanos,Casado,41150,1,11,0,11,1,11,3,10
32,Nao,Frequente,Vendas,9,4,Ciencias da Vida,1062,Masculino,4,Executivo de vendas,Solteiro,43270,8,13,0,4,4,0,0,0
42,Nao,Nao,Pesquisa e desenvolvimento,11,3,Medica,1063,Masculino,1,Gerente,Casado,178560,3,18,0,10,2,6,3,3
47,Nao,Raramente,Vendas,2,2,Ciencias da Vida,1064,Feminino,5,Gerente,Solteiro,31960,4,14,1,7,3,2,2,0
46,Nao,Raramente,Recursos Humanos,1,3,Ciencias da Vida,1065,Feminino,1,Tecnico de Laboratorio,Divorciado,190810,3,21,0,12,2,9,4,7
28,Nao,Nao,Pesquisa e desenvolvimento,7,3,Ciencias da Vida,1066,Masculino,1,Executivo de vendas,Divorciado,89660,1,16,1,3,3,3,2,2
29,Nao,Raramente,Pesquisa e desenvolvimento,16,3,Medica,1067,Feminino,1,Diretor de Manufatura,Divorciado,22100,8,11,1,11,4,7,1,6
42,Nao,Raramente,Vendas,2,4,Medica,1068,Feminino,2,Diretor de pesquisa,Solteiro,45390,4,17,1,8,5,0,0,0
32,Sim,Raramente,Pesquisa e desenvolvimento,1,1,Medica,1069,Masculino,2,Tecnico de Laboratorio,Solteiro,27410,7,11,0,7,3,2,2,2
46,Nao,Raramente,Pesquisa e desenvolvimento,23,1,Ciencias da Vida,1070,Masculino,2,Tecnico de Laboratorio,Divorciado,34910,2,14,0,25,0,19,2,8
27,Nao,Raramente,Vendas,2,3,Ciencias da Vida,1071,Feminino,5,Pesquisador,Casado,45410,1,14,2,9,4,9,5,8
29,Nao,Raramente,Pesquisa e desenvolvimento,1,2,Medica,1072,Masculino,3,Executivo de vendas,Casado,26780,1,25,1,1,3,1,0,0
43,Nao,Raramente,Pesquisa e desenvolvimento,1,3,Ciencias da Vida,1073,Masculino,1,Diretor de Manufatura,Casado,73790,7,13,2,21,3,16,6,14
48,Nao,Raramente,Pesquisa e desenvolvimento,2,3,Ciencias da Vida,1074,Feminino,2,Gerente,Casado,62720,4,14,0,29,3,22,12,9
29,Sim,Frequente,Pesquisa e desenvolvimento,13,2,Ciencias da Vida,1075,Feminino,1,Tecnico de Laboratorio,Solteiro,52200,1,17,0,1,3,1,1,0
46,Sim,Raramente,Pesquisa e desenvolvimento,4,4,Medica,1076,Feminino,2,Representante de Vendas,Casado,27430,5,25,1,14,1,8,0,7
27,Nao,Frequente,Pesquisa e desenvolvimento,16,4,Medica,1077,Masculino,3,Representante de Saude,Casado,49980,0,20,2,8,3,7,7,3
39,Nao,Raramente,Pesquisa e desenvolvimento,2,3,Formacao Tecnica,1078,Masculino,3,Representante de Saude,Divorciado,102520,8,13,1,7,3,2,2,2
55,Nao,Raramente,Pesquisa e desenvolvimento,2,3,Ciencias da Vida,1079,Feminino,1,Recursos Humanos,Casado,27810,8,13,1,19,2,5,0,4
28,Nao,Raramente,Pesquisa e desenvolvimento,29,2,Ciencias da Vida,1080,Masculino,2,Tecnico de Laboratorio,Casado,68520,1,18,1,1,2,1,0,0
30,Sim,Raramente,Vendas,12,4,Ciencias da Vida,1081,Feminino,2,Executivo de vendas,Solteiro,49500,1,12,2,1,3,1,0,0
22,Sim,Raramente,Pesquisa e desenvolvimento,16,2,Ciencias da Vida,1082,Feminino,2,Tecnico de Laboratorio,Solteiro,35790,1,19,3,1,3,1,0,0
36,Nao,Raramente,Pesquisa e desenvolvimento,11,3,Ciencias da Vida,1083,Masculino,1,Executivo de vendas,Casado,131910,1,14,1,10,2,10,1,7
31,Nao,Raramente,Pesquisa e desenvolvimento,2,4,Ciencias da Vida,1084,Feminino,5,Gerente,Divorciado,103770,1,14,0,10,2,10,0,2
34,Nao,Raramente,Vendas,14,2,Formacao Tecnica,1085,Feminino,1,Executivo de vendas,Casado,22350,2,14,1,9,2,5,1,0
29,Nao,Raramente,Pesquisa e desenvolvimento,5,5,Ciencias da Vida,1086,Feminino,1,Executivo de vendas,Solteiro,105020,3,12,0,11,4,3,1,2
37,Nao,Raramente,Pesquisa e desenvolvimento,7,2,Medica,1087,Masculino,1,Diretor de Manufatura,Casado,20110,5,13,0,16,4,5,0,4
35,Nao,Raramente,Vendas,2,1,Formacao Tecnica,1088,Masculino,2,Tecnico de Laboratorio,Casado,18590,0,25,1,4,2,3,0,2
45,Nao,Raramente,Pesquisa e desenvolvimento,3,3,Medica,1089,Feminino,2,Executivo de vendas,Casado,37600,0,14,1,10,2,9,3,8
36,Nao,Frequente,Pesquisa e desenvolvimento,5,3,Medica,1090,Feminino,4,Diretor de Manufatura,Solteiro,177790,1,17,1,10,5,10,0,8
40,Nao,Raramente,Pesquisa e desenvolvimento,3,3,Outras,1091,Masculino,1,Executivo de vendas,Divorciado,68330,2,13,0,22,3,19,11,16
26,Nao,Raramente,Pesquisa e desenvolvimento,26,2,Ciencias da Vida,1092,Masculino,2,Recursos Humanos,Casado,68120,1,13,0,1,2,1,1,0
27,Nao,Raramente,Pesquisa e desenvolvimento,4,3,Formacao Tecnica,1093,Masculino,2,Diretor de Manufatura,Solteiro,51710,0,20,1,9,1,8,0,7
48,Nao,Frequente,Pesquisa e desenvolvimento,2,3,Ciencias da Vida,1094,Masculino,2,Diretor de pesquisa,Divorciado,197400,3,14,0,24,2,22,4,7
44,Nao,Raramente,Vendas,1,2,Medica,1095,Masculino,4,Gerente,Casado,187110,2,12,1,10,0,2,2,2
34,Sim,Nao,Pesquisa e desenvolvimento,27,2,Ciencias da Vida,1096,Feminino,1,Representante de Vendas,Casado,36920,1,12,1,5,5,5,3,0
56,Sim,Raramente,Recursos Humanos,1,2,Medica,1097,Feminino,5,Executivo de vendas,Solteiro,25590,1,21,0,5,3,4,1,0
36,Nao,Raramente,Pesquisa e desenvolvimento,13,3,Formacao Tecnica,1098,Feminino,3,Representante de Saude,Casado,25170,2,14,0,12,3,4,1,3
41,Nao,Raramente,Pesquisa e desenvolvimento,5,3,Ciencias da Vida,1099,Feminino,1,Executivo de vendas,Casado,66230,5,18,0,14,3,5,1,4
42,Nao,Raramente,Pesquisa e desenvolvimento,7,3,Formacao Tecnica,1100,Feminino,2,Executivo de vendas,Casado,182650,9,12,1,18,4,13,5,7
31,Nao,Raramente,Vendas,9,4,Ciencias da Vida,1101,Feminino,1,Executivo de vendas,Divorciado,161240,2,23,1,8,2,5,1,4
34,Nao,Raramente,Pesquisa e desenvolvimento,8,1,Ciencias da Vida,1102,Feminino,3,Tecnico de Laboratorio,Casado,25850,3,12,0,9,5,4,0,1
31,Nao,Raramente,Vendas,25,2,Ciencias da Vida,1103,Feminino,3,Diretor de Manufatura,Divorciado,182130,8,21,2,4,3,2,2,2
26,Nao,Frequente,Vendas,16,2,Ciencias da Vida,1104,Masculino,2,Representante de Saude,Casado,83800,NA,14,0,8,3,7,7,7
45,Nao,Frequente,Pesquisa e desenvolvimento,8,4,Ciencias da Vida,1105,Feminino,2,Gerente,Solteiro,29940,4,18,1,12,2,4,0,3
33,Nao,Raramente,Vendas,1,3,Ciencias da Vida,1106,Feminino,5,Executivo de vendas,Solteiro,12230,1,13,1,10,3,10,0,9
28,Nao,Frequente,Vendas,8,3,Ciencias da Vida,1107,Masculino,4,Pesquisador,Casado,11180,1,11,0,7,3,7,0,7
29,Sim,Frequente,Recursos Humanos,2,4,Recursos Humanos,1108,Masculino,2,Executivo de vendas,Solteiro,28750,1,11,0,1,3,1,0,0
39,Nao,Nao,Pesquisa e desenvolvimento,8,5,Medica,1109,Feminino,2,Representante de Vendas,Casado,188240,6,19,1,10,4,3,1,2
27,Nao,Raramente,Vendas,3,2,Formacao Tecnica,1110,Masculino,2,Representante de Saude,Casado,135770,1,12,1,6,2,5,1,2
34,Nao,Frequente,Pesquisa e desenvolvimento,9,4,Ciencias da Vida,1111,Feminino,2,Diretor de Manufatura,Casado,26250,1,12,3,16,4,15,6,11
28,Sim,Raramente,Pesquisa e desenvolvimento,25,3,Formacao Tecnica,1112,Masculino,1,Diretor de pesquisa,Solteiro,187890,3,16,1,6,4,2,2,2
47,Nao,Nao,Pesquisa e desenvolvimento,1,4,Medica,1113,Masculino,1,Pesquisador,Casado,45380,8,11,0,16,3,8,1,7
56,Nao,Raramente,Pesquisa e desenvolvimento,4,3,Formacao Tecnica,1114,Feminino,2,Executivo de vendas,Casado,198470,4,14,0,6,6,0,0,0
39,Nao,Raramente,Pesquisa e desenvolvimento,1,3,Outras,1115,Feminino,1,Tecnico de Laboratorio,Casado,105120,1,12,1,10,2,10,7,9
38,Nao,Frequente,Pesquisa e desenvolvimento,4,2,Medica,1116,Feminino,1,Gerente,Divorciado,44440,1,13,0,20,2,20,0,7
58,Nao,Raramente,Vendas,5,3,Marketing,1117,Masculino,5,Representante de Vendas,Casado,21540,4,21,1,29,3,1,0,0
32,Sim,Frequente,Pesquisa e desenvolvimento,9,3,Ciencias da Vida,1118,Masculino,2,Tecnico de Laboratorio,Solteiro,191900,3,17,1,8,2,4,0,3
38,Nao,Raramente,Pesquisa e desenvolvimento,3,4,Ciencias da Vida,1119,Feminino,1,Representante de Vendas,Divorciado,44900,2,21,1,10,1,5,0,3
49,Nao,Frequente,Vendas,11,4,Ciencias da Vida,1120,Masculino,2,Pesquisador,Casado,35060,3,11,1,28,4,5,4,3
42,Nao,Raramente,Vendas,1,3,Ciencias da Vida,1121,Feminino,1,Executivo de vendas,Divorciado,23720,3,12,1,14,3,0,0,0
27,Sim,Frequente,Vendas,8,1,Ciencias da Vida,1122,Masculino,4,Tecnico de Laboratorio,Casado,102310,1,13,1,1,2,1,0,0
35,Nao,Raramente,Pesquisa e desenvolvimento,25,1,Medica,1123,Masculino,1,Executivo de vendas,Casado,54100,0,18,0,6,4,5,0,4
28,Nao,Nao,Pesquisa e desenvolvimento,21,1,Medica,1124,Masculino,3,Pesquisador,Solteiro,79780,1,16,2,5,2,5,1,4
31,Nao,Nao,Vendas,23,1,Medica,1125,Masculino,1,Executivo de vendas,Divorciado,38670,1,11,1,4,4,4,2,3
36,Nao,Nao,Pesquisa e desenvolvimento,1,3,Ciencias da Vida,1126,Masculino,2,Pesquisador,Casado,28380,1,19,2,5,5,5,0,2
34,Nao,Raramente,Vendas,2,3,Marketing,1127,Masculino,4,Representante de Saude,Solteiro,46950,1,16,1,14,2,14,2,1
34,Nao,Raramente,Pesquisa e desenvolvimento,19,3,Formacao Tecnica,1128,Feminino,1,Diretor de pesquisa,Divorciado,33390,1,16,0,9,2,8,1,1
26,Nao,Raramente,Pesquisa e desenvolvimento,2,2,Ciencias da Vida,1129,Masculino,2,Pesquisador,Solteiro,20800,0,13,0,8,6,7,7,6
29,Nao,Raramente,Pesquisa e desenvolvimento,2,4,Outras,1130,Masculino,2,Tecnico de Laboratorio,Casado,20960,0,22,0,6,2,5,0,2
32,Nao,Nao,Pesquisa e desenvolvimento,3,1,Ciencias da Vida,1131,Masculino,3,Gerente,Divorciado,62090,5,17,1,9,5,5,1,2
31,Nao,Frequente,Pesquisa e desenvolvimento,25,5,Formacao Tecnica,1132,Feminino,2,Recursos Humanos,Casado,180610,1,14,1,10,2,10,8,7
28,Sim,Raramente,Vendas,7,5,Ciencias da Vida,1133,Feminino,2,Representante de Vendas,Divorciado,171230,5,15,1,6,2,4,0,3
38,Nao,Raramente,Pesquisa e desenvolvimento,9,2,Formacao Tecnica,1134,Masculino,3,Representante de Vendas,Solteiro,23720,4,12,0,20,3,1,0,0
35,Nao,Raramente,Pesquisa e desenvolvimento,5,3,Ciencias da Vida,1135,Masculino,2,Representante de Vendas,Casado,48830,1,18,1,10,1,10,0,9
27,Nao,Raramente,Vendas,2,3,Ciencias da Vida,1136,Feminino,1,Gerente,Solteiro,39040,1,15,0,7,2,7,0,7
32,Nao,Raramente,Pesquisa e desenvolvimento,8,1,Medica,1137,Feminino,2,Pesquisador,Solteiro,46270,8,17,1,8,2,1,0,0
31,Sim,Frequente,Pesquisa e desenvolvimento,2,1,Outras,1138,Masculino,3,Executivo de vendas,Casado,70940,1,14,1,10,2,10,0,8
53,Sim,Raramente,Pesquisa e desenvolvimento,18,3,Medica,1139,Masculino,1,Pesquisador,Solteiro,34230,6,15,1,15,4,2,2,2
54,Nao,Raramente,Pesquisa e desenvolvimento,14,3,Outras,1140,Masculino,3,Pesquisador,Casado,66740,3,17,1,9,2,4,2,3
33,Nao,Frequente,Pesquisa e desenvolvimento,2,4,Medica,1141,Feminino,4,Executivo de vendas,Divorciado,168800,1,14,3,9,2,9,2,8
43,Nao,Raramente,Pesquisa e desenvolvimento,3,3,Medica,1142,Masculino,1,Pesquisador,Casado,90940,1,12,1,10,0,10,0,9
38,Nao,Frequente,Pesquisa e desenvolvimento,2,5,Medica,1143,Feminino,4,Executivo de vendas,Casado,84460,0,14,0,7,3,6,1,2
55,Nao,Raramente,Vendas,9,3,Marketing,1144,Masculino,2,Tecnico de Laboratorio,Casado,119160,4,15,1,35,3,10,1,4
31,Nao,Raramente,Vendas,6,3,Outras,1145,Masculino,1,Diretor de Manufatura,Divorciado,45340,1,13,0,1,2,1,0,0
39,Nao,Raramente,Pesquisa e desenvolvimento,4,3,Ciencias da Vida,1146,Masculino,2,Executivo de vendas,Solteiro,98520,0,12,1,21,5,20,11,10
42,Nao,Nao,Pesquisa e desenvolvimento,10,4,Ciencias da Vida,1147,Feminino,2,Pesquisador,Solteiro,61510,1,13,1,20,3,20,3,7
31,Nao,Nao,Pesquisa e desenvolvimento,14,2,Ciencias da Vida,1148,Masculino,2,Representante de Saude,Casado,23020,4,14,0,13,3,11,4,8
54,Nao,Raramente,Pesquisa e desenvolvimento,1,3,Medica,1149,Feminino,2,Recursos Humanos,Solteiro,23620,6,13,1,9,2,5,1,4
24,Nao,Raramente,Pesquisa e desenvolvimento,5,4,Outras,1150,Masculino,1,Diretor de Manufatura,Solteiro,178610,1,11,2,4,5,4,1,2
23,Nao,Raramente,Pesquisa e desenvolvimento,7,3,Ciencias da Vida,1151,Masculino,2,Pesquisador,Solteiro,191870,1,11,1,5,2,5,1,4
40,Nao,Frequente,Pesquisa e desenvolvimento,21,3,Medica,1152,Feminino,3,Pesquisador,Casado,197170,1,21,0,10,1,10,9,4
40,Nao,Raramente,Pesquisa e desenvolvimento,8,1,Medica,1153,Feminino,5,Pesquisador,Casado,35440,3,18,3,15,3,11,5,10
25,Nao,Raramente,Vendas,20,5,Medica,1154,Feminino,2,Tecnico de Laboratorio,Casado,85000,4,12,0,6,2,2,1,2
30,Nao,Raramente,Recursos Humanos,20,4,Ciencias da Vida,1155,Masculino,2,Pesquisador,Casado,46610,1,11,0,12,3,12,1,7
25,Nao,Raramente,Pesquisa e desenvolvimento,7,2,Medica,1156,Masculino,5,Executivo de vendas,Divorciado,41030,6,15,1,7,2,2,0,2
47,Nao,Raramente,Pesquisa e desenvolvimento,1,4,Ciencias da Vida,1157,Masculino,2,Executivo de vendas,Solteiro,42490,2,13,1,25,2,17,12,11
33,Nao,Nao,Pesquisa e desenvolvimento,1,3,Ciencias da Vida,1158,Masculino,2,Pesquisador,Divorciado,140260,1,12,0,1,4,1,0,0
38,Nao,Raramente,Pesquisa e desenvolvimento,19,3,Ciencias da Vida,1159,Feminino,2,Executivo de vendas,Casado,68930,0,17,0,16,3,15,5,8
31,Nao,Raramente,Pesquisa e desenvolvimento,10,4,Medica,1160,Feminino,3,Executivo de vendas,Casado,61250,0,13,1,3,3,2,1,2
38,Nao,Frequente,Pesquisa e desenvolvimento,1,4,Outras,1161,Masculino,2,Pesquisador,Casado,36690,2,19,0,10,2,8,7,7
42,Nao,Raramente,Pesquisa e desenvolvimento,6,3,Medica,1162,Masculino,2,Tecnico de Laboratorio,Divorciado,100080,6,19,1,9,3,4,1,2
41,Nao,Raramente,Vendas,2,2,Medica,1163,Masculino,1,Representante de Saude,Casado,23870,3,17,1,12,1,5,1,0
47,Nao,Nao,Pesquisa e desenvolvimento,21,2,Medica,1164,Masculino,1,Executivo de vendas,Casado,46390,0,11,1,14,2,13,5,12
35,Nao,Raramente,Pesquisa e desenvolvimento,4,3,Ciencias da Vida,1165,Masculino,2,Representante de Saude,Casado,78980,7,15,0,5,2,2,2,2
22,Nao,Raramente,Recursos Humanos,12,1,Recursos Humanos,1166,Masculino,2,Executivo de vendas,Solteiro,25340,0,11,0,4,1,3,1,2
35,Nao,Raramente,Pesquisa e desenvolvimento,9,3,Medica,1167,Feminino,2,Executivo de vendas,Solteiro,131420,1,25,2,10,4,10,0,8
33,Nao,Raramente,Vendas,3,4,Medica,1168,Masculino,3,Representante de Saude,Casado,16110,0,14,0,10,2,9,8,1
32,Nao,Raramente,Pesquisa e desenvolvimento,3,2,Formacao Tecnica,1169,Masculino,3,Diretor de Manufatura,Solteiro,53630,1,13,0,6,4,6,4,1
40,Nao,Raramente,Pesquisa e desenvolvimento,1,4,Medica,1170,Masculino,2,Diretor de pesquisa,Casado,50710,8,17,1,8,3,1,0,0
32,Nao,Raramente,Pesquisa e desenvolvimento,1,2,Medica,1171,Masculino,3,Executivo de vendas,Casado,136950,0,13,0,3,3,2,2,2
39,Nao,Raramente,Pesquisa e desenvolvimento,4,4,Ciencias da Vida,1172,Masculino,1,Executivo de vendas,Solteiro,134020,7,14,1,18,1,7,1,7
38,Nao,Raramente,Vendas,20,4,Medica,1173,Feminino,2,Diretor de pesquisa,Casado,20290,3,11,1,20,3,18,1,11
32,Nao,Raramente,Pesquisa e desenvolvimento,18,3,Ciencias da Vida,1174,Masculino,2,Gerente,Casado,63770,1,12,2,14,3,14,5,7
37,Nao,Raramente,Pesquisa e desenvolvimento,1,3,Ciencias da Vida,1175,Feminino,4,Executivo de vendas,Casado,54290,1,17,1,16,3,16,6,8
25,Nao,Raramente,Pesquisa e desenvolvimento,2,4,Medica,1176,Feminino,2,Diretor de Manufatura,Divorciado,27850,0,21,0,6,2,5,0,4
52,Nao,Nao,Pesquisa e desenvolvimento,2,4,Outras,1177,Masculino,1,Gerente,Divorciado,46140,2,16,1,16,3,9,0,0
44,Nao,Raramente,Pesquisa e desenvolvimento,8,1,Ciencias da Vida,1178,Feminino,1,Representante de Vendas,Solteiro,26100,6,15,0,6,2,4,1,2
21,Nao,Raramente,Vendas,10,5,Medica,1179,Masculino,3,Pesquisador,Solteiro,66870,1,19,3,2,0,2,1,2
39,Nao,Nao,Pesquisa e desenvolvimento,3,4,Ciencias da Vida,1180,Feminino,2,Diretor de pesquisa,Solteiro,47240,2,12,1,21,4,6,1,3
23,Sim,Frequente,Pesquisa e desenvolvimento,2,4,Ciencias da Vida,1181,Feminino,2,Diretor de Manufatura,Casado,61790,1,11,0,1,3,1,1,0
36,Nao,Raramente,Pesquisa e desenvolvimento,24,3,Ciencias da Vida,1182,Feminino,2,Tecnico de Laboratorio,Casado,61200,0,19,0,10,2,9,3,4
36,Nao,Frequente,Pesquisa e desenvolvimento,16,1,Medica,1183,Masculino,2,Executivo de vendas,Divorciado,105960,7,15,0,18,3,4,0,2
56,Nao,Nao,Pesquisa e desenvolvimento,8,1,Ciencias da Vida,1184,Masculino,1,Executivo de vendas,Divorciado,54670,1,20,0,13,6,13,1,9
29,Sim,Raramente,Pesquisa e desenvolvimento,9,4,Medica,1185,Masculino,2,Representante de Vendas,Casado,29960,9,25,0,4,4,2,2,2
42,Nao,Raramente,Pesquisa e desenvolvimento,17,1,Ciencias da Vida,1186,Masculino,3,Pesquisador,Casado,99980,5,24,2,24,3,22,4,14
56,Sim,Raramente,Vendas,10,4,Outras,1187,Masculino,2,Executivo de vendas,Casado,40780,8,24,1,14,3,10,9,8
41,Nao,Raramente,Pesquisa e desenvolvimento,13,4,Ciencias da Vida,1188,Feminino,1,Representante de Saude,Casado,109200,0,15,1,21,3,20,0,10
34,Nao,Raramente,Vendas,1,3,Medica,1189,Feminino,1,Tecnico de Laboratorio,Casado,62320,1,13,1,8,3,8,1,7
36,Nao,Nao,Vendas,1,1,Medica,1190,Feminino,1,Recursos Humanos,Divorciado,132470,1,14,0,15,3,15,11,11
41,Nao,Raramente,Pesquisa e desenvolvimento,1,5,Medica,1191,Masculino,1,Representante de Saude,Divorciado,40810,2,13,0,14,3,5,0,4
32,Nao,Raramente,Vendas,9,4,Ciencias da Vida,1192,Feminino,2,Pesquisador,Solteiro,57690,1,11,0,4,3,4,1,2
35,Nao,Raramente,Pesquisa e desenvolvimento,16,3,Medica,1193,Feminino,2,Representante de Saude,Solteiro,23940,1,16,1,9,3,9,1,7
38,Nao,Raramente,Pesquisa e desenvolvimento,23,3,Medica,1194,Masculino,3,Representante de Vendas,Casado,39040,1,22,0,10,3,10,1,9
50,Sim,Frequente,Vendas,4,2,Ciencias da Vida,1195,Feminino,2,Tecnico de Laboratorio,Divorciado,167990,7,14,1,12,2,6,0,1
36,Nao,Raramente,Pesquisa e desenvolvimento,22,4,Ciencias da Vida,1196,Masculino,1,Representante de Saude,Casado,29500,4,14,0,8,1,6,0,0
45,Nao,Raramente,Vendas,24,3,Ciencias da Vida,1197,Masculino,1,Tecnico de Laboratorio,Solteiro,36290,8,16,1,8,2,5,0,1
40,Nao,Raramente,Vendas,10,4,Ciencias da Vida,1198,Masculino,1,Pesquisador,Solteiro,93620,2,11,1,8,6,2,2,2
35,Nao,Frequente,Vendas,7,2,Ciencias da Vida,1199,Masculino,2,Diretor de Manufatura,Casado,32290,1,25,0,10,2,10,0,2
40,Nao,Raramente,Pesquisa e desenvolvimento,17,4,Ciencias da Vida,1200,Masculino,1,Gerente,Casado,35780,2,14,1,20,2,5,0,2
35,Nao,Raramente,Recursos Humanos,14,1,Ciencias da Vida,1201,Masculino,2,Pesquisador,Casado,79880,1,18,0,4,3,4,1,1
29,Nao,Raramente,Pesquisa e desenvolvimento,1,3,Medica,1202,Masculino,3,Executivo de vendas,Casado,42840,4,11,0,10,5,4,0,3
29,Nao,Raramente,Pesquisa e desenvolvimento,5,3,Medica,1203,Masculino,2,Representante de Vendas,Solteiro,75530,1,19,0,5,3,5,0,4
50,Sim,Raramente,Pesquisa e desenvolvimento,17,3,Medica,1204,Masculino,1,Pesquisador,Divorciado,173280,4,15,2,20,1,3,2,0
39,Nao,Raramente,Vendas,25,3,Medica,1205,Masculino,2,Executivo de vendas,Casado,197010,0,11,0,21,3,20,9,6
31,Nao,Nao,Pesquisa e desenvolvimento,8,4,Ciencias da Vida,1206,Feminino,4,Executivo de vendas,Solteiro,147320,0,12,0,10,3,9,1,7
26,Nao,Raramente,Pesquisa e desenvolvimento,11,4,Medica,1207,Masculino,2,Gerente,Solteiro,92780,0,20,0,5,3,4,0,0
36,Nao,Frequente,Pesquisa e desenvolvimento,5,1,Formacao Tecnica,1208,Masculino,1,Executivo de vendas,Casado,13590,4,12,0,17,2,5,0,3
39,Nao,Raramente,Pesquisa e desenvolvimento,2,1,Medica,1209,Feminino,1,Pesquisador,Casado,47790,4,14,2,9,3,7,1,7
27,Nao,Raramente,Pesquisa e desenvolvimento,8,2,Medica,1210,Masculino,1,Tecnico de Laboratorio,Casado,164220,1,20,1,6,3,6,0,3
49,Nao,Frequente,Pesquisa e desenvolvimento,6,1,Medica,1211,Masculino,3,Representante de Saude,Casado,29960,2,18,1,17,2,9,0,8
34,Nao,Raramente,Vendas,4,3,Medica,1212,Feminino,1,Executivo de vendas,Casado,12610,2,14,1,6,6,4,1,2
41,Sim,Raramente,Pesquisa e desenvolvimento,7,2,Ciencias da Vida,1213,Feminino,1,Pesquisador,Solteiro,20990,8,12,1,8,2,6,0,5
49,Nao,Frequente,Vendas,1,4,Ciencias da Vida,1214,Feminino,2,Diretor de Manufatura,Casado,58100,1,21,1,10,2,10,1,7
37,Sim,Raramente,Pesquisa e desenvolvimento,2,3,Ciencias da Vida,1215,Masculino,1,Executivo de vendas,Solteiro,56470,6,19,0,7,2,0,0,0
33,Nao,Frequente,Pesquisa e desenvolvimento,10,2,Medica,1216,Masculino,2,Pesquisador,Casado,34200,1,14,0,8,3,8,3,0
27,Nao,Raramente,Vendas,5,4,Medica,1217,Feminino,4,Diretor de Manufatura,Casado,44000,9,17,1,6,3,2,2,2
32,Nao,Frequente,Pesquisa e desenvolvimento,9,2,Medica,1218,Feminino,2,Pesquisador,Solteiro,35000,0,16,1,8,2,7,3,6
59,Nao,Raramente,Vendas,2,2,Marketing,1219,Feminino,5,Representante de Vendas,Casado,20660,4,12,1,12,3,1,0,0
30,Nao,Raramente,Pesquisa e desenvolvimento,11,4,Medica,1220,Masculino,2,Tecnico de Laboratorio,Divorciado,171690,1,17,2,1,2,1,0,0
38,Nao,Frequente,Vendas,18,4,Ciencias da Vida,1221,Masculino,2,Representante de Saude,Solteiro,41620,0,15,1,10,1,9,1,8
